,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,358.0,363.0,363.0,357.0,338.0,447.0
mean,2.2451117318435756,3.0840220385674932,2.015151515151515,0.5729019635197848,1.3173076923076923,4.769033410671842
std,1.9526459428061251,2.6534728249337936,1.8096897468191027,0.7765814916070879,1.360917226479765,4.5628089971369
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.5,0.75,1.5,5.75
90%,4.5,6.25,4.0,1.5,2.5,10.600000000000009
95%,5.25,8.224999999999994,5.0,2.049999999999997,3.5374999999999943,13.174999999999997
99%,8.860000000000014,12.594999999999999,8.344999999999999,3.5,5.157499999999999,21.02000000000001
99.7%,11.75,14.663999999999987,11.534999999999968,4.216000000000008,7.233499999999964,23.915499999999994
max,19.0,16.75,14.25,4.5,15.75,26.5
