,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,358.0,363.0,363.0,357.0,338.0,447.0
mean,4.981189919583625,6.860192837465565,6.09228650137741,2.5602634120054253,3.57396449704142,9.823861277876818
std,2.9328492836558486,3.922009817993161,3.3041215690565293,2.0423330305691962,2.4415425923357987,5.653572887729448
min,1.5,1.25,1.0,0.5,1.25,1.25
5%,2.25,2.75,2.5,1.0,1.5,2.5
25%,3.25,4.25,3.75,1.5,2.25,6.0
50%,4.25,5.75,5.5,2.0,3.0,9.0
68%,5.0,7.25,6.75,2.25,3.5,11.000546875
90%,8.325000000000003,12.0,10.25,4.75,6.0,16.85000000000001
95%,10.0,15.699999999999989,12.724999999999994,8.0,9.0,20.75
99%,16.717500000000015,20.25,16.914999999999992,10.61,12.564999999999998,27.635000000000005
99.7%,21.661249999999967,21.913999999999987,19.456999999999994,11.233000000000004,14.98624999999997,31.25
max,26.75,25.5,24.75,11.5,23.25,43.25
