,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,48.0,50.0,50.0,46.0,48.0,65.0
mean,2.234375,2.4,2.68,0.8315217391304348,1.2135416666666667,3.3
std,1.4726281416627285,2.1368964716645134,2.164792491351595,0.7169657279622675,1.9337357622557827,3.423893525651755
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.11250000000000004,0.0,0.0,0.25
25%,1.0,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.875,2.625,0.75,0.75,2.75
68%,2.75,2.58,3.5,1.0,1.2400000000000002,4.25
90%,4.300000000000004,5.25,5.5,2.0,2.25,6.25
95%,5.25,5.912499999999998,6.0,2.1875,2.75,10.249999999999996
99%,5.3825,9.147499999999996,8.529999999999994,2.6374999999999993,8.432500000000012,14.259999999999998
99.7%,5.46475,9.919250000000003,9.559000000000005,2.7162500000000005,11.804750000000018,15.828
max,5.5,10.25,10.0,2.75,13.25,16.5
