,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,48.0,50.0,50.0,46.0,48.0,65.0
mean,4.244791666666667,5.36,5.215,2.1902173913043477,3.2083333333333335,7.596153846153846
std,1.6538877339544007,2.8505101584217005,2.1800404882965463,1.0713241840107863,3.1485108491755094,4.11710710492957
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.8625,2.475,1.25,1.3375,1.8
25%,3.375,3.5,3.75,1.5,2.0,4.75
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.74,5.83,5.75,2.25,3.25,8.75
90%,6.150000000000002,8.600000000000001,8.0,3.625,4.325000000000001,11.5
95%,6.987499999999999,11.212499999999995,9.712499999999995,4.625,4.824999999999999,13.749999999999996
99%,9.075000000000003,14.509999999999998,11.1275,5.25,15.14250000000002,21.009999999999998
99.7%,9.897500000000004,14.853000000000002,11.21325,5.25,20.817750000000032,22.578
max,10.25,15.0,11.25,5.25,23.25,23.25
