time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T20:15:00-04:00,134.05,134.05,134,134,NaN,NaN,NaN,324,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:16:00-04:00,134.01,134.01,134,134.01,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:17:00-04:00,134.01,134.02,133.98,134,NaN,NaN,NaN,792,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:18:00-04:00,134,134.02,134,134.02,NaN,NaN,NaN,142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:19:00-04:00,134.02,134.02,134,134,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:20:00-04:00,134,134.03,134,134.03,NaN,NaN,NaN,174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:21:00-04:00,134.03,134.03,134.03,134.03,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:22:00-04:00,134.03,134.04,134.02,134.04,NaN,NaN,NaN,139,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:23:00-04:00,134.04,134.05,134.03,134.05,NaN,NaN,NaN,168,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:24:00-04:00,134.04,134.05,134.04,134.04,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:25:00-04:00,134.04,134.05,134.04,134.04,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:26:00-04:00,134.05,134.06,134.05,134.05,NaN,NaN,NaN,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:27:00-04:00,134.05,134.06,134.05,134.05,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:28:00-04:00,134.06,134.06,134.05,134.06,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:29:00-04:00,134.06,134.06,134.04,134.04,NaN,NaN,NaN,73,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:30:00-04:00,134.04,134.04,134.04,134.04,NaN,NaN,NaN,1,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:31:00-04:00,134.04,134.04,134.04,134.04,NaN,NaN,NaN,39,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:32:00-04:00,134.04,134.04,134.04,134.04,NaN,NaN,NaN,4,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:33:00-04:00,134.04,134.04,134.04,134.04,NaN,NaN,NaN,11,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:37:00-04:00,134.04,134.04,134.04,134.04,134.06769870335754,133.99830129664244,134.033,3,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:38:00-04:00,134.04,134.04,134.04,134.04,134.06630495187062,134.00369504812937,134.035,14,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:39:00-04:00,134.04,134.04,134.04,134.04,134.06567190436587,134.0073280956341,134.0365,87,62.499999999993335,62.499999999993335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:40:00-04:00,134.04,134.04,134.04,134.04,134.06239560592036,134.01460439407964,134.0385,3,62.49999999999335,62.49999999999335,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:41:00-04:00,134.03,134.03,134.03,134.03,134.06171563370484,134.01628436629514,134.039,1,55.71549508148575,55.71549508148575,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:42:00-04:00,134.04,134.04,134.04,134.04,134.05499999977118,134.0270000002288,134.041,47,60.350598836484984,60.350598836484984,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:43:00-04:00,134.04,134.04,134.04,134.04,134.05457669765306,134.0284233023469,134.04149999999998,2,60.350598836484984,60.350598836484984,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:44:00-04:00,134.05,134.05,134.05,134.05,134.05494989965987,134.0300501003401,134.0425,1,64.64257817710283,64.64257817710283,NaN,NaN,NaN,NaN,NaN
2024-10-20T20:45:00-04:00,134.05,134.05,134.05,134.05,134.05580624893807,134.0301937510619,134.04299999999998,43,64.64257817710283,64.64257817710283,62.01441779347153,NaN,NaN,NaN,NaN
2024-10-20T20:46:00-04:00,134.06,134.06,134.06,134.06,134.05802583925106,134.02897416074893,134.0435,38,68.58632561897467,68.58632561897467,62.44915533768448,NaN,NaN,NaN,NaN
2024-10-20T20:47:00-04:00,134.06,134.06,134.06,134.06,134.06059347717695,134.02840652282305,134.0445,7,68.58632561897467,68.58632561897467,62.88389288189744,NaN,NaN,NaN,NaN
2024-10-20T20:48:00-04:00,134.05,134.05,134.05,134.05,134.06112451506732,134.0288754849327,134.04500000000002,1,60.730293476664436,60.730293476664436,62.75748527308823,NaN,NaN,NaN,NaN
2024-10-20T20:49:00-04:00,134.05,134.05,134.05,134.05,134.06112451506732,134.0288754849327,134.04500000000002,1,60.73029347666443,60.73029347666443,62.63107766427902,NaN,NaN,NaN,NaN
2024-10-20T20:52:00-04:00,134.06,134.06,134.06,134.06,134.06279161665765,134.02820838334236,134.0455,85,65.3352277197389,65.3352277197389,62.83359392997513,NaN,NaN,NaN,NaN
2024-10-20T20:53:00-04:00,134.06,134.06,134.05,134.05,134.06112451506732,134.0288754849327,134.04500000000002,77,58.009517822473384,58.009517822473384,62.51284520300942,NaN,NaN,NaN,NaN
2024-10-20T20:55:00-04:00,134.04,134.04,134.04,134.04,134.06112451506732,134.0288754849327,134.04500000000002,41,51.759553838559185,51.759553838559185,61.7456704771927,NaN,NaN,NaN,NaN
2024-10-20T20:56:00-04:00,134.04,134.04,134.04,134.04,134.06112451506732,134.0288754849327,134.04500000000002,6,51.759553838559185,51.759553838559185,60.978495751375974,NaN,NaN,NaN,NaN
2024-10-20T20:58:00-04:00,134.05,134.05,134.05,134.05,134.06159347672485,134.02940652327516,134.0455,42,57.11782217963142,57.11782217963142,60.59405447849298,NaN,NaN,NaN,NaN
2024-10-20T20:59:00-04:00,134.05,134.05,134.05,134.05,134.0619999999798,134.03000000002018,134.046,35,57.11782217963142,57.11782217963142,60.694220699789085,NaN,NaN,NaN,NaN
2024-10-20T21:00:00-04:00,134.04,134.05,134.04,134.04,134.0619999999798,134.03000000002018,134.046,48,50.59959422830415,50.59959422830415,59.99772037063331,NaN,NaN,NaN,NaN
2024-10-20T21:01:00-04:00,134.05,134.05,134.05,134.05,134.06234297921432,134.0306570207857,134.0465,5,56.00630377233479,56.00630377233479,59.687413580336866,NaN,NaN,NaN,NaN
2024-10-20T21:02:00-04:00,134.04,134.05,134.04,134.05,134.06262049966688,134.03137950033312,134.047,35,56.00630377233479,56.00630377233479,59.07053683713915,NaN,NaN,NaN,NaN
2024-10-20T21:03:00-04:00,134.05,134.05,134.05,134.05,134.0628297092265,134.03217029077354,134.0475,12,56.00630377233479,56.00630377233479,58.45366009394143,NaN,NaN,NaN,NaN
2024-10-20T21:04:00-04:00,134.04,134.05,134.04,134.05,134.06296662964974,134.03303337035027,134.048,3,56.00630377233479,56.00630377233479,57.55508710489572,NaN,NaN,NaN,NaN
2024-10-20T21:06:00-04:00,134.04,134.04,134.04,134.04,134.06157669598386,134.03542330401618,134.04850000000002,7,48.81951735828655,48.81951735828655,56.14317222913228,NaN,NaN,NaN,NaN
2024-10-20T21:07:00-04:00,134.04,134.04,134.04,134.04,134.06157669598386,134.03542330401618,134.04850000000002,1,48.819517358286554,48.819517358286554,55.29240250639101,NaN,NaN,NaN,NaN
2024-10-20T21:08:00-04:00,134.04,134.05,134.04,134.05,134.0614899957808,134.03651000421922,134.049,3,55.44959812917313,55.44959812917313,54.91520998157019,NaN,NaN,NaN,NaN
2024-10-20T21:09:00-04:00,134.05,134.05,134.05,134.05,134.0614899957808,134.03651000421922,134.049,16,55.44959812917313,55.44959812917313,54.20909358224407,NaN,NaN,NaN,NaN
2024-10-20T21:10:00-04:00,134.04,134.05,134.04,134.04,134.06157669654027,134.03542330345977,134.04850000000002,5,48.20700686842177,48.20700686842177,53.50891422838324,NaN,NaN,NaN,NaN
2024-10-20T21:12:00-04:00,134.04,134.04,134.02,134.03,134.06128285723705,134.03271714276295,134.047,221,42.26226471121109,42.26226471121109,52.83053643357267,NaN,NaN,NaN,NaN
2024-10-20T21:13:00-04:00,134.03,134.03,134.03,134.03,134.0602986488794,134.0307013511206,134.0455,17,42.26226471121109,42.26226471121109,52.15215863876209,NaN,NaN,NaN,NaN
2024-10-20T21:14:00-04:00,134.03,134.03,134.03,134.03,134.06059347717695,134.02840652282305,134.0445,2,42.26226471121109,42.26226471121109,51.091047391017774,NaN,NaN,NaN,NaN
2024-10-20T21:15:00-04:00,134.04,134.04,134.04,134.04,134.0600000008893,134.02799999911068,134.04399999999998,56,49.96816426023671,49.96816426023671,50.58035753963244,NaN,NaN,NaN,NaN
2024-10-20T21:16:00-04:00,134.04,134.04,134.04,134.04,134.05728285774643,134.02871714225353,134.04299999999998,3,49.96816426023671,49.96816426023671,50.5352553990562,NaN,NaN,NaN,NaN
2024-10-20T21:17:00-04:00,134.04,134.04,134.04,134.04,134.05646424006278,134.0285357599372,134.0425,35,49.968164260236726,49.968164260236726,50.10395971962061,NaN,NaN,NaN,NaN
2024-10-20T21:18:00-04:00,134.04,134.04,134.04,134.04,134.05646424162586,134.02853575837406,134.04249999999996,18,49.968164260236726,49.968164260236726,49.67266404018503,NaN,NaN,NaN,NaN
2024-10-20T21:20:00-04:00,134.04,134.05,134.04,134.05,134.05728285774643,134.02871714225353,134.04299999999998,31,57.58272858800552,57.58272858800552,49.78526581273294,NaN,NaN,NaN,NaN
2024-10-20T21:21:00-04:00,134.06,134.06,134.06,134.06,134.05934298059205,134.02765701940788,134.04349999999997,4,63.55596566733772,63.55596566733772,50.32452737666171,NaN,NaN,NaN,NaN
